trade_date,SMB,HML
2018-01-02,-0.005300351819645828,0.002837170090783097
2018-01-03,0.0011248352283805476,-0.002083186405417055
2018-01-04,-0.007970399280542604,-0.004825319641992553
2018-01-05,0.00043906219635845575,0.006651268964636783
2018-01-08,-0.005685132315445336,0.0021642255309854315
2018-01-09,-0.005586044176777178,-0.010602707933689066
2018-01-10,-0.010871599685090426,-0.0005993378052232099
2018-01-11,0.006909892256773989,-0.0012098571029126436
2018-01-12,-0.00650094710973529,-0.0016939638830102423
2018-01-15,-0.02058363674645132,0.002934051226745963
2018-01-16,0.00022301124429770108,0.0008196310323758602
2018-01-17,0.0056251511013294744,0.00915585009771405
2018-01-18,-0.004495578878349564,0.006753895285772131
2018-01-19,-0.002641210747403463,0.005557247492937845
2018-01-22,-0.009082930513417293,-0.011385651732157187
2018-01-23,-0.007362118766219779,0.005711896497684494
2018-01-24,0.004471011856463277,0.000632584265126955
2018-01-25,0.002168123328006218,0.0033934965381783215
2018-01-26,-0.006935216763514502,0.0007289786941574099
2018-01-29,0.0025018903750453395,0.010229915442442821
2018-01-30,0.005610178955987147,-0.005340204648486151
2018-01-31,-0.028912791643515328,-0.0024148859321188364
